Station_Sample_ID,Date,Season,State,District,Water_Body_Name,Water_Source_Type,Water_Temperature_C,pH,Dissolved_Oxygen_DO_mg_L,Biochemical_Oxygen_Demand_BOD_mg_L,Chemical_Oxygen_Demand_COD_mg_L,Total_Dissolved_Solids_TDS_mg_L,Turbidity_NTU,Nitrate_NO3_mg_L,Fluoride_F_mg_L,Arsenic_As_mg_L,Lead_Pb_mg_L,Fecal_Coliform_MPN_100ml,Water_Quality_Index_WQI,CPCB_Water_Quality_Class,Potability_Use_Assessment
IND-WQ-000029,2025-03-30,Pre-Monsoon / Summer,West Bengal,Howrah,Hooghly River,River (Surface Water),32.2,8.1,5.53,5.43,26.9,787.8,17.4,22.86,0.78,0.0026,0.0095,4800,50.9,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000030,2025-09-12,Monsoon,West Bengal,Malda,Groundwater Aquifer (Tube Well),Groundwater (Aquifer),30.1,7.91,4.32,1.34,3.4,377.1,7.7,15.82,0.99,0.0805,0.0025,0,49.1,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000031,2023-11-28,Post-Monsoon,Assam,Guwahati,Brahmaputra River,River (Surface Water),22.4,6.97,8.95,1.39,5.3,293.2,13.8,6.06,0.38,0.0044,0.0029,350,85.6,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000032,2025-01-16,Winter,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),21.9,8.92,1.45,18.61,117.2,1404.2,28.4,50.27,1.38,0.025,0.0236,180000,26.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000033,2025-04-15,Pre-Monsoon / Summer,Assam,Guwahati,Brahmaputra River,River (Surface Water),31.3,7.02,7.39,1.22,4.0,320.9,7.2,7.61,0.36,0.0035,0.0036,350,76.9,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000034,2024-03-30,Pre-Monsoon / Summer,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),28.3,8.01,4.5,1.96,6.0,2189.1,1.8,71.99,1.18,0.0027,0.0048,10,70.0,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000035,2026-02-12,Winter,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),15.0,8.73,1.47,24.81,99.1,1183.4,77.7,63.48,1.4,0.012,0.0206,68000,32.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000036,2023-11-09,Post-Monsoon,Tamil Nadu,Chennai,Cooum River,River (Surface Water),26.8,7.16,0.0,51.67,188.0,1873.8,45.3,41.47,1.53,0.0133,0.0418,68000,25.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000037,2025-10-14,Post-Monsoon,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),21.6,7.55,3.54,2.35,8.1,2587.3,5.4,42.75,3.5,0.0077,0.0056,35,34.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000038,2023-08-16,Monsoon,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),25.0,7.17,1.96,19.2,103.4,813.6,114.5,46.28,1.42,0.0259,0.0428,1200000,34.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000039,2025-04-13,Pre-Monsoon / Summer,Uttar Pradesh,Kanpur,Ganga River (Jajmau Stretch),River (Surface Water),31.7,9.18,2.5,23.25,90.8,1183.5,74.0,54.44,1.03,0.0258,0.0162,450000,28.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000040,2025-05-07,Pre-Monsoon / Summer,Madhya Pradesh,Bhopal,Bhojtal (Upper Lake),Lake / Wetland,33.6,7.75,8.11,1.47,4.5,263.3,3.5,8.57,0.55,0.0041,0.0065,80,72.5,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000041,2026-06-22,Pre-Monsoon / Summer,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,31.5,7.96,0.13,19.6,111.5,1622.8,39.5,48.78,1.6,0.0094,0.0244,450000,38.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000042,2025-03-28,Pre-Monsoon / Summer,Assam,Guwahati,Brahmaputra River,River (Surface Water),33.7,7.23,8.08,2.0,7.1,326.1,3.3,7.69,0.51,0.0027,0.0043,350,77.8,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000043,2025-10-14,Post-Monsoon,Telangana,Hyderabad,Musi River,River (Surface Water),24.2,8.9,1.01,44.45,203.6,1066.7,26.0,47.5,0.88,0.0224,0.0124,25000,38.4,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000044,2024-06-11,Pre-Monsoon / Summer,Assam,Cachar (Silchar),Barak River,River (Surface Water),31.4,7.4,7.3,1.72,5.2,255.4,5.4,10.46,0.31,0.003,0.0049,80,75.8,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000045,2025-08-07,Monsoon,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,28.8,8.01,0.44,53.84,255.2,1727.2,158.2,28.53,1.56,0.026,0.0222,25000,31.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000046,2024-03-02,Pre-Monsoon / Summer,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),30.2,7.78,0.54,33.14,189.0,1204.6,46.2,50.54,1.11,0.0192,0.0194,68000,30.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000047,2023-02-11,Winter,Tamil Nadu,Chennai,Cooum River,River (Surface Water),19.8,6.68,0.0,42.84,252.2,1745.1,50.8,43.15,1.67,0.0172,0.0277,180000,28.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000048,2024-04-09,Pre-Monsoon / Summer,Punjab,Ludhiana,Buddha Nullah (Sutlej Tributary),River / Drain,27.7,8.57,0.01,33.91,180.5,1626.7,64.0,63.25,1.53,0.0129,0.0408,450000,28.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000049,2023-10-05,Post-Monsoon,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),19.3,8.59,1.22,33.87,145.9,1007.9,60.9,42.76,1.21,0.023,0.048,450000,31.4,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000050,2025-04-15,Pre-Monsoon / Summer,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),32.7,8.62,4.28,1.9,7.4,1784.3,2.0,47.49,1.88,0.0058,0.0017,10,70.0,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000051,2023-01-19,Winter,Assam,Cachar (Silchar),Barak River,River (Surface Water),19.7,7.47,7.05,2.6,9.8,231.1,10.8,1.67,0.65,0.0029,0.003,140,84.8,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000052,2023-03-07,Pre-Monsoon / Summer,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),32.5,8.23,2.4,28.75,165.3,976.1,49.0,28.31,1.18,0.0238,0.0197,68000,26.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000053,2023-06-16,Pre-Monsoon / Summer,Uttar Pradesh,Kanpur,Ganga River (Jajmau Stretch),River (Surface Water),28.5,7.01,0.5,23.81,139.8,930.5,47.9,50.9,0.95,0.0166,0.0211,68000,26.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000054,2025-10-16,Post-Monsoon,Bihar,Patna,Ganga River,River (Surface Water),22.9,7.9,4.92,6.69,32.8,341.9,26.3,24.81,1.12,0.005,0.0137,2400,48.6,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000055,2024-02-07,Winter,Maharashtra,Pune,Mula-Mutha River,River (Surface Water),15.2,7.85,2.54,8.0,36.4,864.7,77.8,42.61,1.27,0.0156,0.0388,68000,28.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000056,2024-02-13,Winter,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),18.4,7.21,2.08,9.74,35.2,913.4,44.2,35.98,1.35,0.0195,0.0309,450000,34.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000057,2023-04-22,Pre-Monsoon / Summer,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),32.3,8.3,3.48,1.56,4.9,2634.8,4.0,53.73,3.61,0.0038,0.0044,35,28.4,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000058,2026-07-21,Monsoon,Telangana,Hyderabad,Musi River,River (Surface Water),27.8,7.05,0.56,51.55,230.6,1347.0,97.3,52.76,1.53,0.0067,0.0293,1200000,25.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000059,2024-08-19,Monsoon,Uttar Pradesh,Kanpur,Ganga River (Jajmau Stretch),River (Surface Water),27.1,7.26,1.83,21.83,136.7,776.8,78.8,40.82,1.12,0.0092,0.0505,1200000,35.4,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000060,2024-10-12,Post-Monsoon,Maharashtra,Pune,Mula-Mutha River,River (Surface Water),25.4,8.38,1.8,12.91,72.2,1450.0,74.1,39.97,1.27,0.015,0.0487,180000,33.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000061,2025-11-28,Post-Monsoon,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),25.0,8.37,1.88,37.28,173.3,1072.9,84.2,53.2,1.57,0.0143,0.0431,1200000,34.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000062,2023-04-15,Pre-Monsoon / Summer,Tamil Nadu,Chennai,Cooum River,River (Surface Water),35.9,9.06,0.0,44.58,226.4,1137.1,35.9,37.96,1.47,0.0109,0.0455,68000,28.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000063,2023-11-20,Post-Monsoon,Odisha,Puri,Chilika Lake,Lake / Lagoon,25.6,7.28,6.43,1.47,5.1,297.3,13.2,4.37,0.39,0.004,0.0039,350,73.4,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000064,2025-09-18,Monsoon,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,27.6,6.92,1.13,38.04,207.1,1797.0,173.6,44.93,1.66,0.01,0.0196,25000,28.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000065,2024-03-04,Pre-Monsoon / Summer,Assam,Cachar (Silchar),Barak River,River (Surface Water),29.3,7.42,9.45,3.06,8.4,366.7,10.9,6.09,0.31,0.0048,0.0019,350,52.2,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000066,2024-09-26,Monsoon,Tamil Nadu,Chennai,Cooum River,River (Surface Water),24.8,8.79,0.73,33.6,208.4,1373.4,193.4,37.43,1.55,0.0191,0.0302,25000,33.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000067,2024-12-30,Winter,Assam,Cachar (Silchar),Barak River,River (Surface Water),22.3,7.36,7.16,2.51,8.6,270.1,3.1,10.76,0.54,0.0036,0.006,20,82.9,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000068,2025-06-07,Pre-Monsoon / Summer,Odisha,Puri,Chilika Lake,Lake / Lagoon,34.1,7.03,6.39,2.23,6.4,214.8,4.0,1.83,0.47,0.002,0.0039,20,79.7,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000069,2025-12-20,Winter,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),17.6,7.89,3.64,4.83,20.1,720.8,22.6,14.3,0.85,0.0112,0.0173,4800,38.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000070,2026-08-23,Monsoon,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),25.4,7.67,3.79,0.91,2.7,2739.5,6.5,60.46,1.56,0.0066,0.0048,0,36.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000071,2024-01-28,Winter,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,13.1,8.46,0.86,44.38,198.0,1215.6,36.0,56.12,1.63,0.0174,0.0342,68000,37.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000072,2023-07-23,Monsoon,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),26.6,7.75,3.45,5.13,23.7,612.1,107.3,14.25,0.84,0.0035,0.0066,2400,38.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000073,2023-09-15,Monsoon,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),27.8,7.67,2.8,16.83,92.3,454.9,228.4,37.93,1.04,0.0225,0.0363,1200000,37.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000074,2024-04-30,Pre-Monsoon / Summer,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,28.4,8.57,0.96,45.0,209.4,2029.6,63.9,61.33,1.76,0.0142,0.0276,450000,34.9,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000075,2024-03-21,Pre-Monsoon / Summer,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),29.3,7.26,5.49,3.91,13.0,685.8,22.9,25.04,0.81,0.0029,0.012,14000,43.9,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000076,2026-04-18,Pre-Monsoon / Summer,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),30.9,7.53,4.61,5.88,24.5,314.0,11.7,24.33,0.88,0.0103,0.0081,8500,42.4,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000077,2025-10-20,Post-Monsoon,Assam,Guwahati,Brahmaputra River,River (Surface Water),25.3,7.42,8.22,2.14,7.8,411.1,7.3,6.93,0.61,0.0051,0.0022,350,79.9,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000078,2023-12-08,Winter,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),19.7,7.91,1.66,11.37,59.8,955.4,26.9,29.27,1.71,0.0115,0.0507,450000,35.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000079,2023-05-13,Pre-Monsoon / Summer,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),29.7,7.86,4.06,6.03,20.5,681.6,10.6,29.87,1.02,0.0083,0.0132,2400,51.3,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000080,2024-03-18,Pre-Monsoon / Summer,Telangana,Hyderabad,Musi River,River (Surface Water),28.3,7.65,1.21,48.55,172.4,1536.1,66.9,63.19,1.22,0.0255,0.0171,68000,34.9,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000081,2023-09-10,Monsoon,Assam,Cachar (Silchar),Barak River,River (Surface Water),25.7,7.31,7.94,1.94,7.7,334.3,60.7,8.94,0.7,0.0044,0.0064,600,55.3,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000082,2023-09-22,Monsoon,Maharashtra,Mumbai,Mithi River,River (Surface Water),26.5,8.44,1.2,35.87,172.1,1656.8,117.7,35.17,1.79,0.0226,0.0367,450000,35.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000083,2023-04-03,Pre-Monsoon / Summer,West Bengal,Malda,Groundwater Aquifer (Tube Well),Groundwater (Aquifer),28.1,7.0,4.4,2.11,8.3,519.9,8.0,15.59,0.82,0.0343,0.008,0,41.0,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000084,2023-05-18,Pre-Monsoon / Summer,Punjab,Ludhiana,Buddha Nullah (Sutlej Tributary),River / Drain,31.9,8.29,0.25,47.7,189.4,1086.8,65.9,63.66,1.68,0.0068,0.0473,1200000,33.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000085,2026-05-16,Pre-Monsoon / Summer,Assam,Cachar (Silchar),Barak River,River (Surface Water),28.7,7.41,6.74,2.27,6.3,304.7,10.1,9.78,0.74,0.0031,0.0065,80,74.5,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000086,2025-09-28,Monsoon,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),26.7,8.34,0.81,51.9,230.7,1556.3,121.9,35.36,1.42,0.0082,0.0538,1200000,31.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000087,2023-11-03,Post-Monsoon,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),21.5,8.75,1.31,45.03,287.7,1901.2,62.6,56.38,1.44,0.0274,0.0541,450000,31.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000088,2023-09-23,Monsoon,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),26.2,7.51,6.04,6.47,29.0,670.6,115.4,21.75,1.02,0.0067,0.0074,8500,51.2,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000089,2024-10-07,Post-Monsoon,West Bengal,Howrah,Hooghly River,River (Surface Water),25.0,7.85,4.95,6.35,22.2,427.7,32.6,12.19,0.64,0.0036,0.0062,2400,48.8,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000090,2023-11-14,Post-Monsoon,Maharashtra,Pune,Mula-Mutha River,River (Surface Water),22.9,8.72,1.51,13.62,73.0,1077.7,31.2,26.29,1.18,0.0123,0.0351,25000,34.3,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000091,2026-02-10,Winter,Assam,Guwahati,Brahmaputra River,River (Surface Water),18.1,7.18,7.53,2.44,9.4,339.7,7.8,10.85,0.7,0.0036,0.0059,350,76.5,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000092,2025-06-19,Pre-Monsoon / Summer,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),29.7,8.87,3.19,19.7,108.6,1279.5,77.2,40.49,1.56,0.0094,0.0263,25000,26.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000093,2024-03-29,Pre-Monsoon / Summer,Assam,Guwahati,Brahmaputra River,River (Surface Water),28.7,7.78,7.55,1.39,4.6,304.5,12.9,4.47,0.81,0.0034,0.006,350,73.6,Class B (Outdoor Bathing),Requires Conventional Treatment
